retailer_id,customer_id,customer_name,us_region,channel,n_stores,contract_start_date,annual_revenue_potential,account_status
RET00003,CUST00003,XYZ Industries,Northeast,Retail,10,2020-09-04,3102814,Active
RET00004,CUST00004,American Corp,Midwest,Retail,62,2020-11-29,3948027,Active
RET00009,CUST00009,XYZ Wholesale,Northeast,Retail,48,2020-03-28,4713444,Inactive
RET00010,CUST00010,National Logistics,Midwest,Retail,49,2021-11-19,3468505,Active
RET00012,CUST00012,ABC Distribution,Northeast,Discount,36,2020-07-17,2931263,Active
RET00015,CUST00015,First Group,Midwest,Retail,49,2020-08-27,3816255,Active
RET00022,CUST00022,Continental Supply Chain,Midwest,Discount,65,2021-05-23,3712034,Active
RET00026,CUST00026,ABC Supply Chain,Northeast,Retail,51,2020-10-14,4677044,Inactive
RET00027,CUST00027,Superior Foods,Midwest,Discount,25,2021-02-03,1894559,Active
RET00030,CUST00030,ABC Manufacturing,Midwest,Retail,79,2021-03-25,2231454,Active
RET00032,CUST00032,Continental Wholesale,Midwest,Retail,40,2021-09-01,3895035,Active
RET00033,CUST00033,XYZ Foods,Midwest,Retail,23,2020-11-22,3853900,Active
RET00035,CUST00035,United Distribution,South,Discount,24,2021-12-23,101641,Active
RET00037,CUST00037,American Retail,Midwest,Retail,61,2020-05-16,2486409,Active
RET00038,CUST00038,Continental Supply Chain,Northeast,E-commerce,22,2020-01-25,236754,Active
RET00039,CUST00039,XYZ Wholesale,Northeast,Retail,51,2020-09-02,4442022,Active
RET00040,CUST00040,ABC Corp,Northeast,Retail,53,2020-01-28,1233181,Active
RET00041,CUST00041,XYZ Industries,Midwest,E-commerce,18,2020-05-01,2632031,Active
RET00045,CUST00045,First Logistics,Midwest,Discount,19,2021-04-22,1902064,Active
RET00047,CUST00047,Elite Industries,South,Retail,35,2020-08-08,282044,Inactive
RET00048,CUST00048,First Manufacturing,South,Discount,5,2021-09-30,2414896,Active
RET00049,CUST00049,Continental Corp,South,Discount,58,2020-01-30,4744463,Active
