date,dc_id,sku,pack_type,pallets_on_hand,reorder_point_s,order_up_to_S,in_transit_pallets,weekly_outflow_pallets,stockout_pallets
2022-01-24,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-01-31,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-02-07,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-02-14,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-02-21,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-02-28,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-03-07,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-03-14,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-03-21,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-03-28,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-04-04,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-04-11,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-04-18,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-04-25,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-05-02,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-05-09,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-05-16,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-05-23,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-05-30,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-06-06,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-06-13,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-06-20,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-06-27,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-07-04,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-07-11,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-07-18,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-07-25,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-08-01,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-08-08,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-08-15,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-08-22,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-08-29,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-09-05,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-09-12,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-09-19,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-09-26,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-10-03,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-10-10,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-10-17,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-10-24,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-10-31,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-11-07,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-11-14,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-11-21,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-11-28,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-12-05,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-12-12,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-12-19,FAC00001,MI-002,Carton,15,5,15,0,0,0
2022-12-26,FAC00001,MI-002,Carton,15,5,15,0,0,0
2023-01-02,FAC00001,MI-002,Carton,15,5,15,0,0,0
2023-01-09,FAC00001,MI-002,Carton,15,5,15,0,0,0
2023-01-16,FAC00001,MI-002,Carton,15,5,15,0,0,0
2023-01-23,FAC00001,MI-002,Carton,15,5,15,0,0,0
2023-01-30,FAC00001,MI-002,Carton,15,5,15,0,0,0
2023-02-06,FAC00001,MI-002,Carton,15,5,15,0,0,0
2023-02-13,FAC00001,MI-002,Carton,15,5,15,0,0,0
2023-02-20,FAC00001,MI-002,Carton,15,5,15,0,0,0
2023-02-27,FAC00001,MI-002,Carton,15,5,15,0,0,0
2023-03-06,FAC00001,MI-002,Carton,15,5,15,0,0,0
2023-03-13,FAC00001,MI-002,Carton,11,5,15,0,2,0
2023-03-20,FAC00001,MI-002,Carton,13,5,15,1,1,0
2023-03-27,FAC00001,MI-002,Carton,7,5,15,0,2,0
2023-04-03,FAC00001,MI-002,Carton,2,5,15,13,1,0
2023-04-10,FAC00001,MI-002,Carton,10,5,15,0,1,0
2023-04-17,FAC00001,MI-002,Carton,6,5,15,0,0,0
2023-04-24,FAC00001,MI-002,Carton,0,5,15,15,2,0
2023-05-01,FAC00001,MI-002,Carton,9,5,15,0,1,0
2023-05-08,FAC00001,MI-002,Carton,8,5,15,0,1,0
2023-05-15,FAC00001,MI-002,Carton,4,5,15,11,1,0
2023-05-22,FAC00001,MI-002,Carton,13,5,15,0,0,0
2023-05-29,FAC00001,MI-002,Carton,10,5,15,0,0,0
2023-06-05,FAC00001,MI-002,Carton,5,5,15,0,1,0
2023-06-12,FAC00001,MI-002,Carton,12,5,15,0,1,0
2023-06-19,FAC00001,MI-002,Carton,6,5,15,0,1,0
2023-06-26,FAC00001,MI-002,Carton,15,5,15,0,0,0
2023-07-03,FAC00001,MI-002,Carton,12,5,15,0,1,0
2023-07-10,FAC00001,MI-002,Carton,8,5,15,0,1,0
2023-07-17,FAC00001,MI-002,Carton,4,5,15,11,0,0
2023-07-24,FAC00001,MI-002,Carton,7,5,15,0,2,0
2023-07-31,FAC00001,MI-002,Carton,2,5,15,13,1,0
2023-08-07,FAC00001,MI-002,Carton,8,5,15,0,1,0
2023-08-14,FAC00001,MI-002,Carton,2,5,15,13,2,0
2023-08-21,FAC00001,MI-002,Carton,7,5,15,0,2,0
2023-08-28,FAC00001,MI-002,Carton,12,5,15,0,1,0
2023-09-04,FAC00001,MI-002,Carton,4,5,15,11,3,0
2023-09-11,FAC00001,MI-002,Carton,5,5,15,0,2,0
2023-09-18,FAC00001,MI-002,Carton,11,5,15,0,0,0
2023-09-25,FAC00001,MI-002,Carton,3,5,15,12,2,0
2023-10-02,FAC00001,MI-002,Carton,9,5,15,0,1,0
2023-10-09,FAC00001,MI-002,Carton,4,5,15,11,0,0
2023-10-16,FAC00001,MI-002,Carton,11,5,15,0,0,0
2023-10-23,FAC00001,MI-002,Carton,5,5,15,0,1,0
2023-10-30,FAC00001,MI-002,Carton,13,5,15,0,0,0
2023-11-06,FAC00001,MI-002,Carton,6,5,15,0,1,0
2023-11-13,FAC00001,MI-002,Carton,12,5,15,0,2,0
2023-11-20,FAC00001,MI-002,Carton,6,5,15,0,0,0
2023-11-27,FAC00001,MI-002,Carton,11,5,15,0,1,0
2023-12-04,FAC00001,MI-002,Carton,2,5,15,13,0,0
2023-12-11,FAC00001,MI-002,Carton,9,5,15,0,0,0
2023-12-18,FAC00001,MI-002,Carton,2,5,15,13,0,0
2023-12-25,FAC00001,MI-002,Carton,11,5,15,0,0,0
2024-01-01,FAC00001,MI-002,Carton,12,5,15,1,1,0
2024-01-08,FAC00001,MI-002,Carton,7,5,15,0,1,0
2024-01-15,FAC00001,MI-002,Carton,11,5,15,2,2,0
2024-01-22,FAC00001,MI-002,Carton,8,5,15,0,1,0
2024-01-29,FAC00001,MI-002,Carton,5,5,15,0,0,0
2024-02-05,FAC00001,MI-002,Carton,13,5,15,0,1,0
2024-02-12,FAC00001,MI-002,Carton,13,5,15,0,0,0
2024-02-19,FAC00001,MI-002,Carton,7,5,15,0,0,0
2024-02-26,FAC00001,MI-002,Carton,15,5,15,0,0,0
2024-03-04,FAC00001,MI-002,Carton,9,5,15,0,0,0
2024-03-11,FAC00001,MI-002,Carton,4,5,15,11,1,0
2024-03-18,FAC00001,MI-002,Carton,10,5,15,0,1,0
2024-03-25,FAC00001,MI-002,Carton,3,5,15,12,2,0
2024-04-01,FAC00001,MI-002,Carton,9,5,15,0,1,0
2024-04-08,FAC00001,MI-002,Carton,2,5,15,13,0,0
2024-04-15,FAC00001,MI-002,Carton,11,5,15,0,1,0
2024-04-22,FAC00001,MI-002,Carton,5,5,15,0,1,0
2024-04-29,FAC00001,MI-002,Carton,11,5,15,0,0,0
2024-05-06,FAC00001,MI-002,Carton,7,5,15,0,0,0
2024-05-13,FAC00001,MI-002,Carton,2,5,15,13,1,0
