date,national_avg_price_per_gallon,total_gallons_purchased,n_transactions,fuel_price_usd_per_barrel,fuel_price_rolling_7d,fuel_price_dod_pct_change,fuel_price_yoy_pct_change,day_of_week,week_of_year,month,is_month_end,is_quarter_end,is_us_holiday
2022-01-01,4.1414981941666555,6949.7,55.0,79.25,4.1414981941666555,,,Saturday,52,1,0,0,1
2022-01-02,4.234609716265917,15063.4,116.0,79.25,4.1880539552162865,2.2482569769174177,,Sunday,52,1,0,0,0
2022-01-03,4.205562632011738,18606.3,148.0,79.25,4.19389018081477,-0.6859447788683748,,Monday,1,1,0,0,0
2022-01-04,4.268526333437118,20876.5,176.0,79.25,4.2125492189703575,1.4971528647823806,,Tuesday,1,1,0,0,0
2022-01-05,4.188411319671448,21597.800000000003,172.0,79.25,4.207721639110575,-1.8768775803981064,,Wednesday,1,1,0,0,0
2022-01-06,4.216751430559225,18541.7,148.0,79.25,4.2092266043520175,0.6766315131151002,,Thursday,1,1,0,0,0
2022-01-07,4.225110305551236,20579.199999999997,163.0,79.25,4.211495704523334,0.19823020468869856,,Friday,1,1,0,0,0
2022-01-08,4.196286493089893,24066.2,194.0,79.25,4.219322604369511,-0.682202602461579,,Saturday,1,1,0,0,0
2022-01-09,4.237725245626139,25943.9,207.0,79.25,4.219767679992399,0.987510090278243,,Sunday,1,1,0,0,0
2022-01-10,4.239025019028211,24437.4,193.0,79.25,4.224548020994753,0.030671488280487047,,Monday,2,1,0,0,0
2022-01-11,4.1482360894317285,26330.7,208.0,79.25,4.207363700422555,-2.141740829293226,,Tuesday,2,1,0,0,0
2022-01-12,4.193690301009169,22969.4,183.0,79.25,4.2081178406136575,1.0957479419563931,,Wednesday,2,1,0,0,0
2022-01-13,4.23170654009111,18834.6,158.0,79.25,4.210254284832499,0.9065104085724363,,Thursday,2,1,0,0,0
2022-01-14,4.160644357757203,21277.0,173.0,79.25,4.201044863719065,-1.6792795450408682,,Friday,2,1,0,0,0
2022-01-15,4.229978788691774,23855.199999999997,190.0,79.25,4.205858048805048,1.6664349310534732,,Saturday,2,1,0,0,0
2022-01-16,4.240348215426859,24255.1,193.0,79.25,4.206232758776578,0.245141341200239,,Sunday,2,1,0,0,0
2022-01-17,4.224077947579612,23426.0,192.0,79.25,4.2040974628553505,-0.3837012202925538,,Monday,3,1,0,0,1
2022-01-18,4.220344446491066,22801.800000000003,187.0,79.25,4.214398656720971,-0.08838617882716004,,Tuesday,3,1,0,0,0
2022-01-19,4.221248069199876,21040.5,171.0,79.25,4.218335480748214,0.02141111277211838,,Wednesday,3,1,0,0,0
2022-01-20,4.259436063933751,21591.1,174.0,79.25,4.222296841297163,0.9046612307035851,,Thursday,3,1,0,0,0
2022-01-21,4.213581327636981,21019.3,172.0,79.25,4.229859265565702,-1.0765447727937305,,Friday,3,1,0,0,0
2022-01-22,4.229529096297689,25508.4,205.0,79.25,4.229795023795119,0.3784848901837057,,Saturday,3,1,0,0,0
2022-01-23,4.255789478194916,23336.3,184.0,79.25,4.23200091847627,0.6208819303362478,,Sunday,3,1,0,0,0
2022-01-24,4.195610038069518,22143.7,175.0,79.25,4.227934074260543,-1.414060550544971,,Monday,4,1,0,0,0
2022-01-25,4.248355408014635,23616.799999999996,189.0,79.25,4.23193564019248,1.2571561576629753,,Tuesday,4,1,0,0,0
2022-01-26,4.171188820939822,20080.399999999998,153.0,79.25,4.224784319012473,-1.8163872761030264,,Wednesday,4,1,0,0,0
2022-01-27,4.211716654023351,21618.799999999996,173.0,79.25,4.217967260453845,0.9716134853468006,,Thursday,4,1,0,0,0
2022-01-28,4.198390185851486,21511.8,174.0,79.25,4.215797097341631,-0.3164141671100906,,Friday,4,1,0,0,0
2022-01-29,4.169781586354643,23199.100000000002,188.0,79.25,4.207261738778338,-0.681418311076798,,Saturday,4,1,0,0,0
2022-01-30,4.16283470978833,19894.1,160.0,79.25,4.193982486148826,-0.16660049027619195,,Sunday,4,1,0,0,0
2022-01-31,4.227335894972784,24983.999999999996,201.0,79.25,4.1985147514207215,1.5494534297215479,,Monday,5,1,1,0,0
2022-02-01,4.230668731687658,22082.1,180.0,79.25,4.195988083374011,0.07884012053163136,,Tuesday,5,2,0,0,0
2022-02-02,4.184932389853908,20788.300000000003,171.0,79.25,4.197951450361737,-1.0810664869878583,,Wednesday,5,2,0,0,0
