order_date,arrival_date,dc_id,sku,pack_type,manufacturer_id,pallets_ordered,lead_time_days
2023-03-17,2023-03-20,FAC00001,MI-002,Carton,MFG-003,11,3
2023-03-18,2023-03-21,FAC00001,MI-002,Carton,MFG-003,1,3
2023-04-01,2023-04-04,FAC00001,MI-002,Carton,MFG-003,11,3
2023-04-02,2023-04-05,FAC00001,MI-002,Carton,MFG-003,1,3
2023-04-03,2023-04-06,FAC00001,MI-002,Carton,MFG-003,1,3
2023-04-22,2023-04-25,FAC00001,MI-002,Carton,MFG-003,11,3
2023-04-23,2023-04-26,FAC00001,MI-002,Carton,MFG-003,2,3
2023-04-24,2023-04-27,FAC00001,MI-002,Carton,MFG-003,2,3
2023-05-15,2023-05-18,FAC00001,MI-002,Carton,MFG-003,11,3
2023-05-16,2023-05-19,FAC00001,MI-002,Carton,MFG-003,1,3
2023-05-17,2023-05-20,FAC00001,MI-002,Carton,MFG-003,1,3
2023-06-07,2023-06-10,FAC00001,MI-002,Carton,MFG-003,13,3
2023-06-08,2023-06-11,FAC00001,MI-002,Carton,MFG-003,1,3
2023-06-21,2023-06-24,FAC00001,MI-002,Carton,MFG-003,12,3
2023-06-22,2023-06-25,FAC00001,MI-002,Carton,MFG-003,1,3
2023-07-15,2023-07-18,FAC00001,MI-002,Carton,MFG-003,11,3
2023-07-29,2023-08-01,FAC00001,MI-002,Carton,MFG-003,11,3
2023-07-30,2023-08-02,FAC00001,MI-002,Carton,MFG-003,1,3
2023-07-31,2023-08-03,FAC00001,MI-002,Carton,MFG-003,1,3
2023-08-13,2023-08-16,FAC00001,MI-002,Carton,MFG-003,11,3
2023-08-14,2023-08-17,FAC00001,MI-002,Carton,MFG-003,2,3
2023-08-15,2023-08-18,FAC00001,MI-002,Carton,MFG-003,2,3
2023-08-24,2023-08-27,FAC00001,MI-002,Carton,MFG-003,12,3
2023-08-25,2023-08-28,FAC00001,MI-002,Carton,MFG-003,1,3
2023-09-04,2023-09-07,FAC00001,MI-002,Carton,MFG-003,11,3
2023-09-05,2023-09-08,FAC00001,MI-002,Carton,MFG-003,1,3
2023-09-12,2023-09-15,FAC00001,MI-002,Carton,MFG-003,11,3
2023-09-14,2023-09-17,FAC00001,MI-002,Carton,MFG-003,1,3
2023-09-25,2023-09-28,FAC00001,MI-002,Carton,MFG-003,12,3
2023-09-26,2023-09-29,FAC00001,MI-002,Carton,MFG-003,3,3
2023-10-07,2023-10-10,FAC00001,MI-002,Carton,MFG-003,11,3
2023-10-24,2023-10-27,FAC00001,MI-002,Carton,MFG-003,11,3
2023-10-25,2023-10-28,FAC00001,MI-002,Carton,MFG-003,1,3
2023-10-26,2023-10-29,FAC00001,MI-002,Carton,MFG-003,1,3
2023-11-09,2023-11-12,FAC00001,MI-002,Carton,MFG-003,11,3
2023-11-10,2023-11-13,FAC00001,MI-002,Carton,MFG-003,1,3
2023-11-22,2023-11-25,FAC00001,MI-002,Carton,MFG-003,11,3
2023-12-02,2023-12-05,FAC00001,MI-002,Carton,MFG-003,11,3
2023-12-03,2023-12-06,FAC00001,MI-002,Carton,MFG-003,2,3
2023-12-16,2023-12-19,FAC00001,MI-002,Carton,MFG-003,11,3
2023-12-17,2023-12-20,FAC00001,MI-002,Carton,MFG-003,2,3
2023-12-28,2023-12-31,FAC00001,MI-002,Carton,MFG-003,11,3
2023-12-29,2024-01-01,FAC00001,MI-002,Carton,MFG-003,1,3
2023-12-30,2024-01-02,FAC00001,MI-002,Carton,MFG-003,1,3
2024-01-11,2024-01-14,FAC00001,MI-002,Carton,MFG-003,11,3
2024-01-13,2024-01-16,FAC00001,MI-002,Carton,MFG-003,2,3
2024-01-30,2024-02-02,FAC00001,MI-002,Carton,MFG-003,12,3
2024-01-31,2024-02-03,FAC00001,MI-002,Carton,MFG-003,1,3
2024-02-23,2024-02-26,FAC00001,MI-002,Carton,MFG-003,12,3
2024-03-11,2024-03-14,FAC00001,MI-002,Carton,MFG-003,11,3
2024-03-12,2024-03-15,FAC00001,MI-002,Carton,MFG-003,1,3
2024-03-13,2024-03-16,FAC00001,MI-002,Carton,MFG-003,1,3
2024-03-25,2024-03-28,FAC00001,MI-002,Carton,MFG-003,12,3
2024-03-26,2024-03-29,FAC00001,MI-002,Carton,MFG-003,2,3
2024-03-27,2024-03-30,FAC00001,MI-002,Carton,MFG-003,1,3
2024-04-06,2024-04-09,FAC00001,MI-002,Carton,MFG-003,12,3
2024-04-07,2024-04-10,FAC00001,MI-002,Carton,MFG-003,1,3
2024-04-23,2024-04-26,FAC00001,MI-002,Carton,MFG-003,12,3
2024-04-24,2024-04-27,FAC00001,MI-002,Carton,MFG-003,1,3
2024-04-25,2024-04-28,FAC00001,MI-002,Carton,MFG-003,1,3
2024-05-11,2024-05-14,FAC00001,MI-002,Carton,MFG-003,11,3
2024-05-12,2024-05-15,FAC00001,MI-002,Carton,MFG-003,1,3
2024-05-13,2024-05-16,FAC00001,MI-002,Carton,MFG-003,1,3
2024-05-23,2024-05-26,FAC00001,MI-002,Carton,MFG-003,11,3
2024-05-25,2024-05-28,FAC00001,MI-002,Carton,MFG-003,1,3
2024-06-01,2024-06-04,FAC00001,MI-002,Carton,MFG-003,11,3
2024-06-03,2024-06-06,FAC00001,MI-002,Carton,MFG-003,1,3
2024-06-26,2024-06-29,FAC00001,MI-002,Carton,MFG-003,11,3
2024-06-27,2024-06-30,FAC00001,MI-002,Carton,MFG-003,1,3
2024-07-09,2024-07-12,FAC00001,MI-002,Carton,MFG-003,11,3
2024-07-11,2024-07-14,FAC00001,MI-002,Carton,MFG-003,1,3
2024-07-26,2024-07-29,FAC00001,MI-002,Carton,MFG-003,11,3
2024-07-27,2024-07-30,FAC00001,MI-002,Carton,MFG-003,1,3
2024-08-07,2024-08-10,FAC00001,MI-002,Carton,MFG-003,11,3
2024-08-21,2024-08-24,FAC00001,MI-002,Carton,MFG-003,11,3
2024-09-03,2024-09-06,FAC00001,MI-002,Carton,MFG-003,11,3
2024-09-04,2024-09-07,FAC00001,MI-002,Carton,MFG-003,1,3
2024-09-17,2024-09-20,FAC00001,MI-002,Carton,MFG-003,12,3
